Country/Territory,Cause,Total_Cases
Afghanistan,Meningitis,78666
Afghanistan,Alzheimer's Disease and Other Dementias,41998
Afghanistan,"Fire, Heat, and Hot Substances",13559
Afghanistan,Nutritional Deficiencies,71453
Afghanistan,Digestive Diseases,186959
Afghanistan,Poisonings,14530
Afghanistan,HIV/AIDS,4282
Afghanistan,Diarrheal Diseases,245832
Afghanistan,Alcohol Use Disorders,3257
Afghanistan,Conflict and Terrorism,280520
Afghanistan,Cardiovascular Diseases,1607042
Afghanistan,Protein-Energy Malnutrition,70163
Afghanistan,Maternal Disorders,129621
Afghanistan,Malaria,13924
Afghanistan,Tuberculosis,147637
Afghanistan,Parkinson's Disease,13397
Afghanistan,Road Injuries,208331
Afghanistan,Interpersonal Violence,108228
Afghanistan,Acute Hepatitis,98108
Afghanistan,Cirrhosis and Other Chronic Liver Diseases,98419
Afghanistan,Exposure to Forces of Nature,16770
Afghanistan,Self-harm,37054
Afghanistan,Drowning,56536
Afghanistan,Chronic Respiratory Diseases,209857
Afghanistan,Lower Respiratory Infections,822179
Afghanistan,Drug Use Disorders,7094
Afghanistan,Neoplasms,469611
Afghanistan,Diabetes Mellitus,93207
Afghanistan,Chronic Kidney Disease,134676
Afghanistan,Environmental Heat and Cold Exposure,2187
Afghanistan,Neonatal Disorders,697534
Albania,Exposure to Forces of Nature,89
Albania,Diabetes Mellitus,4055
Albania,Malaria,0
Albania,Cirrhosis and Other Chronic Liver Diseases,8717
Albania,Maternal Disorders,246
Albania,Self-harm,4587
Albania,Road Injuries,8522
Albania,Digestive Diseases,14907
Albania,Alcohol Use Disorders,458
Albania,Chronic Kidney Disease,7636
Albania,Interpersonal Violence,5242
Albania,Neoplasms,102577
Albania,Diarrheal Diseases,677
Albania,Drug Use Disorders,634
Albania,Nutritional Deficiencies,569
Albania,Protein-Energy Malnutrition,526
Albania,Lower Respiratory Infections,26402
Albania,"Fire, Heat, and Hot Substances",636
Albania,Alzheimer's Disease and Other Dementias,16549
Albania,Poisonings,500
Albania,Environmental Heat and Cold Exposure,164
Albania,HIV/AIDS,57
Albania,Neonatal Disorders,15567
Albania,Cardiovascular Diseases,270603
Albania,Acute Hepatitis,44
Albania,Conflict and Terrorism,2145
Albania,Parkinson's Disease,4491
Albania,Meningitis,1323
Albania,Tuberculosis,593
Albania,Drowning,2397
Albania,Chronic Respiratory Diseases,22632
Algeria,Chronic Respiratory Diseases,168453
Algeria,"Fire, Heat, and Hot Substances",27628
Algeria,Alzheimer's Disease and Other Dementias,86914
Algeria,Interpersonal Violence,16702
Algeria,Environmental Heat and Cold Exposure,1041
Algeria,Meningitis,15685
Algeria,Chronic Kidney Disease,154666
Algeria,Self-harm,44966
Algeria,Neonatal Disorders,395714
Algeria,Drug Use Disorders,10612
Algeria,Conflict and Terrorism,30947
Algeria,Lower Respiratory Infections,179379
Algeria,Neoplasms,469379
Algeria,Drowning,24273
